driver_id,first,last,phone,office_id
DRV5000,Sipho,Nkosi,061-448-4156,NDK-JHB
DRV5001,Lerato,Nkosi,075-997-5220,NDK-JHB
DRV5002,Sipho,Mabena,079-963-8239,NDK-JHB
DRV5003,Sibusiso,Dlamini,063-536-8163,NDK-JHB
DRV5004,Karabo,Mabena,086-156-5713,NDK-JHB
DRV5005,Thandi,Khumalo,082-288-8493,NDK-JHB
DRV5006,Karabo,Mokoena,070-251-2048,NDK-JHB
DRV5007,Sipho,Mahlangu,079-274-4756,NDK-JHB
DRV5008,Thabo,Mahlangu,064-233-8030,NDK-JHB
DRV5009,Thabo,Sithole,080-514-6728,NDK-JHB
DRV5010,Ayanda,Mahlangu,075-308-2145,NDK-JHB
DRV5011,Kagiso,Radebe,060-724-1321,NDK-JHB
DRV5012,Thandi,Dlamini,080-587-4500,NDK-JHB
DRV5013,Sibusiso,Mahlangu,073-870-2241,NDK-JHB
DRV5014,Lerato,Khumalo,085-827-4452,NDK-JHB
DRV5015,Thabo,Radebe,071-790-7788,NDK-JHB
DRV5016,Naledi,Mahlangu,080-680-9779,NDK-JHB
DRV5017,Naledi,Mokoena,072-750-2525,NDK-JHB
DRV5018,Kagiso,Mahlangu,081-870-4604,NDK-JHB
DRV5019,Lerato,Khumalo,070-127-6712,NDK-JHB
DRV5020,Lerato,Khumalo,069-724-6094,NDK-JHB
DRV5021,Karabo,Radebe,083-720-6773,NDK-JHB
DRV5022,Thabo,Mahlangu,083-893-5234,NDK-JHB
DRV5023,Karabo,Khumalo,074-617-4123,NDK-JHB
DRV5024,Lerato,Moyo,060-852-1656,NDK-JHB
DRV5025,Thandi,Radebe,067-757-1622,NDK-JHB
DRV5026,Sipho,Sithole,063-455-9943,NDK-JHB
DRV5027,Mpho,Radebe,066-340-8502,NDK-JHB
DRV5028,Naledi,Mabena,076-524-1416,NDK-JHB
DRV5029,Sibusiso,Sithole,087-961-9627,NDK-JHB
DRV5030,Naledi,Nkosi,073-447-8020,NDK-JHB
DRV5031,Karabo,Mokoena,087-523-5193,NDK-JHB
DRV5032,Sibusiso,Mabena,069-330-3219,NDK-JHB
DRV5033,Sibusiso,Mabena,079-833-7653,NDK-JHB
DRV5034,Thandi,Radebe,087-266-1473,NDK-JHB
DRV5035,Sibusiso,Mokoena,085-463-2622,NDK-JHB
DRV5036,Sipho,Mahlangu,084-480-7209,NDK-JHB
DRV5037,Mpho,Dlamini,071-285-4217,NDK-JHB
DRV5038,Kagiso,Mabena,086-618-6313,NDK-JHB
DRV5039,Naledi,Sithole,062-542-4503,NDK-JHB
DRV5040,Lerato,Mabena,082-176-6443,NDK-JHB
DRV5041,Naledi,Moyo,087-250-8794,NDK-JHB
DRV5042,Sipho,Sithole,077-760-3918,NDK-JHB
DRV5043,Thandi,Moyo,088-753-3380,NDK-JHB
DRV5044,Ayanda,Nkosi,075-917-8884,NDK-JHB
DRV5045,Sipho,Sithole,067-169-3071,NDK-JHB
DRV5046,Lerato,Mabena,087-853-8088,NDK-JHB
DRV5047,Sibusiso,Mabena,079-240-2141,NDK-JHB
DRV5048,Sibusiso,Dlamini,061-939-6305,NDK-JHB
DRV5049,Naledi,Mabena,061-914-1911,NDK-JHB
DRV5050,Naledi,Nkosi,075-766-6225,NDK-JHB
DRV5051,Thabo,Sithole,073-706-2239,NDK-JHB
DRV5052,Thandi,Sithole,062-983-7395,NDK-JHB
DRV5053,Naledi,Nkosi,079-469-1953,NDK-JHB
DRV5054,Sipho,Molefe,087-713-3842,NDK-JHB
DRV5055,Lerato,Sithole,060-670-1998,NDK-JHB
DRV5056,Thabo,Mahlangu,086-967-3941,NDK-JHB
DRV5057,Kagiso,Khumalo,083-579-8920,NDK-JHB
DRV5058,Kagiso,Sithole,062-243-3113,NDK-JHB
DRV5059,Thandi,Nkosi,064-312-5482,NDK-JHB
DRV5060,Kagiso,Dlamini,088-992-7795,NDK-PTA
DRV5061,Mpho,Dlamini,087-572-1762,NDK-PTA
DRV5062,Naledi,Nkosi,088-819-5820,NDK-PTA
DRV5063,Lerato,Dlamini,072-477-8279,NDK-PTA
DRV5064,Sibusiso,Nkosi,077-250-9955,NDK-PTA
DRV5065,Sibusiso,Dlamini,069-582-6648,NDK-PTA
DRV5066,Karabo,Molefe,061-904-2354,NDK-PTA
DRV5067,Thandi,Mokoena,080-296-5257,NDK-PTA
DRV5068,Karabo,Radebe,077-349-2508,NDK-PTA
DRV5069,Sipho,Moyo,086-195-4465,NDK-PTA
DRV5070,Sibusiso,Mahlangu,066-176-6095,NDK-PTA
DRV5071,Thandi,Mabena,062-952-4886,NDK-PTA
DRV5072,Thandi,Khumalo,068-536-6135,NDK-PTA
DRV5073,Mpho,Mahlangu,083-311-5134,NDK-PTA
DRV5074,Sibusiso,Mabena,086-980-9537,NDK-PTA
DRV5075,Thabo,Nkosi,078-625-7582,NDK-PTA
DRV5076,Sibusiso,Mahlangu,079-139-4049,NDK-PTA
DRV5077,Karabo,Radebe,085-642-6766,NDK-PTA
